,name,country,event,date_of_violation,substance,sanction,references,flagged
5397,Carl Lewis, United States,"Sprinting, long jump",,"Pseudoephedrine, ephedrine, phenylpropanolamine (inadvertent use)",,[480],1
5398,Mark Lewis-Francis, Great Britain,Sprinting,2005,Cannabis,Public warning,[66],1
5399,Li Ji, China,Long distance,2001,,2 years,[546],1
5400,Elmar Lichtenegger, Austria,Hurdling,20032007,NandroloneNorandrosterone,15 monthsLife ban,[19][37][547][548][549],1
5401,Lim Eun-ji, South Korea,Pole vault,2010,"Hydrochlorothiazide, Chlorothiazide",3 months,[32][550],1
5402,Lim Hee-nam, South Korea,Sprinting,2011,Methylhexaneamine,6 months,[13][86][551],1
5403,Lin Na, China,Middle distance,2002,,2 years,[552][553],1
5404,Piotr Lisek, Poland,Pole vault,2012,Methylhexaneamine,6 months,[79][80],1
5405,Lin Yili, China,,,,,[554],1
5406,Liu Hong, China,Race walk,2016,Higenamine,1 month,[152][555],1
5407,Liu Huyuan, China,Long distance,2002,,2 years,[553][556],1
5408,Liu Jing, China,Hurdling,2001,Refusal to submit to doping control,2 years,[557],1
5409,Liu Yunfeng, China,Race walking,2001,,,[554],1
5410,Jason Livingston, Great Britain,Sprinting,1992,Methandienone,4 years,[558],1
5411,Jud Logan, United States,Hammer throw,1992,Clenbuterol,4 years,[170],1
5412,Cathal Lombard, Ireland,Middle distance,2004,EPO,2 years,[98][559],1
5413,Andrea Longo, Italy,Middle distance,2001,Nandrolone,2 years,[115][560],1
5414,Gilmar Lopes, Brazil,Long distance,2014,Hydrochlorothiazide,1 year,[119][354],1
5415,Juan Miguel López, Cuba,Triple jump,1986,,,[561],1
5416,Wilson Loyanae, Kenya,Long distance,2012,EPO,2 years,[562][563],1
5417,Chris Lukezic, United States,Middle distance,2010,Refusal to submit to doping control,2 years,[32][112][564],1
5418,Nataliia Lupu, Ukraine,Middle-distance,2014,Methylhexaneamine,9 months,[174][175],1
5419,Lü Huihui, China,Javelin throw,2013,,1 year,[449],1
5420,Vyacheslav Lykho, Soviet Union,Shot put,1990,Pseudoephedrine,,[565],1
5421,Tatyana Lysenko, Russia,Hammer throw,2007,6α-methylandrostendione,2 years,[3][566],1
5422,Kaarlo Maaninka, Finland,Long distance,1980,Self admittance: Blood transfusioins (not illegal at the time),—,[567],1
5423,Remigius Machura (born 1960), Czechoslovakia,Shot put,1985  1981–,StanozololSelf admittance: Anabolic steroids,2 years (Reduced from life ban)  —,[568],1
5424,Remigius Machura (born 1986), Czech Republic,Shot put,2010,HGH,2 years,[10][569],1
5425,Colin Mackenzie, Great Britain,Javelin throw,1994,,3 months,[570],1
5426,Simon Magakwe, South Africa,Sprinting,2014,Refusal to submit to doping control,2 years,[448][449][571],1
5427,Maurren Maggi, Brazil,Long jump,2003,Clostebol,2 years,[572][573],1
5428,Mike Mahovlich, Canada,Javelin throw,1986,,,[1][2],1
5429,Edi Maia, Portugal,Pole vault,2008,Cannabis,"Public warning, disqualification from events",[37][574],1
5430,Pascal Mancini,  Switzerland,Sprinting,20112012,UndisclosedNorandrosterone,Public warning2 years,[86][153][154],1
5431,Luvo Manyonga, South Africa,Long jump,2012,Methamphetamine,18 months,[7][79][575][576],1
5432,Irina Maracheva, Russia,Middle distance,2012,Biological passport,2 years,[56][353],1
5433,Pascal Maran, France,Hurdling,1997,Ephedrine,Public warning and disqualification,[13][104][105][106],1
5434,Natalia Mărășescu, Romania,Middle distance,1979,Anabolic steroids,8 months,[1][577][578][579],1
5435,Brian Mariano, Netherlands,Sprinting,2016,Stanozolol,4 years,[17][152],1
5436,Martin Marić, Croatia,Discus throw,2014,Ostarine (SARMs),2 years,[38][580],1
5437,Itay Margalit, Israel,High jump,1999,Nandrolone,,[581],1
5438,Marina Marghieva, Moldova,Hammer throw,2012,Stanozolol,2 years,[30][153][582],1
5439,Zalina Marghieva, Moldova,Hammer throw,2009 {Retested 2013),"Dehydrochloromethyltestosterone, stanozolol",2 years,[13][76][583],1
5440,Dzmitry Marshin, Azerbaijan,Hammer throw,2015,Dehydrochloromethyltestosterone,4 years,[142][143],1
5441,LaVonna Martin-Floreal, United States,Hurdling,1991,Furosemide,14 months (Reduced from 2 years),[584][585],1
5442,David Martínez, Spain,Discus throw,1997,Nandrolone,2 years,[211],1
5443,Yousef Masrahi, Saudi Arabia,Sprinting,2016,EPO,4 years,[94][95],1
5444,Maude Mathys,  Switzerland,Ultramarathon/Ski mountaineering,2015,Clomifene,Public warning,[143][586],1
5445,Richard Mavuso, South Africa,Long distance,2011,Norandrosterone,2 years,[10][154][587][588],1
5446,Natasha Mayers, Saint Vincent and the Grenadines,Sprinting,2005,T/E-4,2 years,[589][590],1
5447,Eduard Mbengani, Portugal,Middle/Long distance,2010,EPO,2 years,[10][154][591],1
5448,John McEwen, United States,Hammer throw,2003,"Tetrahydrogestrinone, Modafinil",2 years,[236][262][321],1
5449,Mark McKoy, Canada,Hurdling,1980's,Self admittance of steroid use (Dubin inquiry),2 years,[1][592][593],1
5450,Inika McPherson, United States,High jump,2014,Benzoylecgonine,21 months,[167][594],1
5451,Ekaterina Medvedeva, Russia,Race Walking,2013,EPO,2 years,[38][207][595],1
5452,Nijolė Medvedeva, Lithuania,Long jump,1992,Mesocarb,,[596],1
5453,Fathi Meftah, Algeria,Long distance,2008,Norandrosterone,2 years,[3][36][597],1
5454,Irina Meleshina, Russia,Long jump,2012,Testosterone,2 years,[21][26],1
5455,Jimmy Melfort, France,Sprinting,2012,Methylhexaneamine,3 months,[79][219][598],1
5456,Mihaela Melinte, Romania,Hammer throw,2000,Nandrolone,2 years,[102],1
5457,Miroslav Menc, Czech Republic,Shot put,1998  2001,Stanozolol  Norandrosterone,2 years  Life ban,[599][600],1
5458,Amewu Mensah, Germany,High jump,2001,Oxandrolone,2 years,[216][601],1
5459,LaShawn Merritt, United States,Sprinting,2009/2010,Testosterone,21 months,[602][603],1
5460,Elena Meuti, Italy,High jump,2012,Tetrahydrocannabinol,5 months,[7][154],1
5461,Karin Mey Melis, Turkey,Long jump,2012,Testosterone,2 years,[7][30][604],1
5462,Gabriela Mihalcea, Romania,High jump,1987,,2 years,[1][137][138],1
5463,Andrei Mikhnevich, Belarus,Shot put,20012005 (Retested in 2012),"Human chorionic gonadotropin Clenbuterol, Methandienone, Oxandrolone",2 years  Life ban,[605][606][607][608][13][28][609],1
5464,Natallia Mikhnevich, Belarus,Shot put,2013,Stanozolol,2 years,[14][30],1
5465,Inger Miller, United States,Sprinting,1999,Caffeine,Public warning,[45][610],1
5466,Tatyana Mineeva, Russia,Race walking,2011,Biological passport anomalies,2 years,[13][145][611],1
5467,Ildar Minshin, Russia,Steeplechase,2009,Biological passport anomalies,2 years,[94][95],1
5468,Yevgeniy Mironov, Soviet Union,Shot put,1978,Anabolic steroids,18 months,[412],1
5469,Anna Mishchenko, Ukraine,Middle distance,2012,Biological passport,2 years,[56][353],1
5470,Dennis Mitchell, United States,Sprinting,1998BALCO scandal,TestosteroneAdmittance in court: HGH,2 years —,[82][612],1
5471,Diane Modahl, United Kingdom,Middle distance,1994,Testosterone,Fully exonerated,[613],1
5472,Ofentse Mogawane, South Africa,Sprinting,2006,Methylprednisolone,Public warning,[614],1
5473,Ghofrane Mohammad, Syria,Hurdling,2012,Methylhexaneamine,6 months,[7],1
5474,Felicia Moldovan (Felicia Tilea), Romania,Javelin throw,1990,,2 years,[615][616][617][618],1
5475,Tim Montgomery, United States,Sprinting,2001 2000,"BALCO investigation: Steroids, HGH  Public admittance in 2008: Testosterone, HGH",2 years,[13][98][619][620],1
5476,Amantle Montsho, Botswana,Sprinting,2014,Methylhexaneamine,2 years,[448][449][621],1
5477,Luis Morales, Puerto Rico,Sprinting,1988,,2 years,[1][622][623],1
5478,Sara Moreira, Portugal,Long-distance,2011,Methylhexaneamine,6 months,[13][86][624],1
5479,Edder Moreno, Colombia,Shot put,2014,Stanozolol,2 years,[35][625],1
5480,Sheryl Morgan, Jamaica,Sprinting,2003,,Public warning,[230],1
5481,Sergey Morozov, Russia,Race walking,2008  2011,EPO  Biological passport anomalies,2 years  Life ban,[3][36][626][13][332],1
5482,Ramolefi Motsieloa, Lesotho,Long distance,2014,Methylhexaneamine,2 years,[56][353],1
5483,William Motti, France,Decathlon,1989,,2 years,[1][139],1
5484,Bertrand Moulinet, France,Race walking,2015,FG-4592 (HIF inhibitor),4 years,[34][116][627],1
5485,Hassan Mourhit, Belgium,Long distance,2008,Anastrozol,2 years,[37][628],1
5486,Mohammed Mourhit, Belgium,Middle/Long distance,2002,EPO,2 years,[629][630],1
5487,Gael Mulhall, Australia,"Discus throw, shot put",1981,Anabolic steroids,18 months,[1][631][632],1
5488,Ángel Mullera, Spain,Steeplechase,2015,Refusal,2 years,[17][88],1
5489,Steve Mullings, Jamaica,Sprinting,20042011,TestosteroneFurosemide,2 yearsLife ban,[563][633][634][635],1
5490,Julia Mumbi Muraga, Kenya,Marathon,2014,EPO,2 years,[101][296][636],1
5491,Jauna Murmu, India,Sprinting,2011,Methandienone,2 years,[153][154],1
5492,Sammy Alex Mutahi, Kenya,Long distance,2011,,"Public reprimand, disqualification of result",[10],1
5493,Elizabeth Muthuka, Kenya,Sprinting,2008,Norandrosterone,2 years,[3][36][637],1
5494,Semiha Mutlu Semiha Metlu-Ozdemir, Turkey,Race walk,2011,Biological passport,2 years and 6 months,[159][315],1
5495,Carl Myerscough, Great Britain,Shot put,1999,Anabolic steroids,2 years,[638],1
5496,Melissa Myerscough (née Melissa Price), United States,Hammer throw,2003,THG,2 years,[13][236][639],1
5497,Larry Myricks, United States,Long jump,1990,Phenylpropanolomine,,[640],1
5498,Cédric Nabe,  Switzerland,Sprinting,2011,Whereabouts failure ×3,18 months  Extended by CAS from 1 year,[10][83][641][642],1
5499,Rachid Nadij, Morocco,Long distance,2007,Ephedrine,3 months,[3][643],1
5500,Kaltouma Nadjina, Chad,Sprinting,2009,,Reprimand and disqualification of result,[37],1
5501,Tezzhan Naimova, Bulgaria,Sprinting,20082013,Tampering with testDrostanolone,2 years Life ban,[36][37][644][15][207],1
5502,Cosmas Ndeti, Kenya,Long distance,1988,Ephedrine,3 months,[645][646],1
5503,Lisa Nemec, Croatia,Long distance,2015,EPO,4 years,[17][109],1
5504,John Ngugi, Kenya,Long distance,1993,Missed test,,[647],1
5505,Antoni Niemczak, Poland,Marathon,1986,Nandrolone,2 years,[1][648][649],1
5506,Larisa Nikitina (Larisa Turchinskaya), Soviet Union,Heptathlon,1990,Amphetamines,,[204],1
5507,Ilja Nikolajev, Estonia,Marathon,2013,Biological passport,2 years,[198][650],1
5508,Lars Arvid Nilsen, Norway,Shot put,1987  1992,"Probenecid, Anabolic steroids  Metenolone",2 years  Life ban,[61][651] (in Norwegian),1
5509,Cyrus Njui, Kenya,Long distance,2015,Methylephedrine,8 months,[353][652],1
5510,Siyabonga Nkonde, South Africa,Cross country running,2014,,6 months,[70],1
5511,Nadia Noujani, Morocco,Long distance,2014,EPO,2 years,[119][430],1
5512,Jonathan Nsenga, Belgium,Hurdling,1997,Ephedrine,,[45][653],1
5513,Juan Núñez, Dominican Republic,Sprinting,1983,Fencamfamine,,[1][654],1
5514,Liliya Nurutdinova, Russia,Middle distance,1993,Stanozolol,4 years,[13][655][656],1
5515,Musa Amer Obaid, Qatar,Steeplechase,2006,Testosterone,2 years,[657],1
5516,Al Oerter, United States,Discus throw,1976,Anabolic steroids. (Self-admitted),—,[658],1
5517,Deborah Oluwaseun Odeyemi, Niger,Sprinting,2015,Metenolone,4 years,[55][56],1
5518,Amaka Ogoegbunam, Nigeria,Sprinting,2009,Metenolone,3 years,[13][32][156],1
5519,Femi Ogunode, Qatar,Sprinting,2011,Clenbuterol,2 years,[83][110][659],1
5520,Christine Ohuruogu, Great Britain,Sprinting,2006,3 whereabouts failures,1 year,[660][661],1
5521,Aham Okeke, Norway,Sprinting,19942006,"Testosterone, Pseudoephedrine Testosterone",30 monthsLife ban,[662] (in Norwegian)[663] (in Norwegian),1
5522,Samuel Okon, Nigeria,Hurdling,2010,Methylhexanamine,,[664],1
5523,Iulia Olteanu, Romania,Cross country,1996,Stanozolol,2 years,[665],1
5524,Omolara Omotosho, Nigeria,Sprinting,2009,Metenolone,2 years,[32][156],1
5525,Mary Onyali-Omagbemi, Nigeria,Sprinting,1996,Ephedrine,3 months,[666][667],1
5526,Janet Ongera, Kenya,Long distance,2002,Norandrosterone,2 years,[405],1
5527,Josephine Onyia, Spain,Hurdling,2008  2011  2015,"Methylhexaneamine, Clenbuterol Methylhexaneamine  Metenolone",2 years  2 years  Life ban,[36][37][668][83][372][55][56],1
5528,Charity Opara, Nigeria,Sprinting,1992,,4 years,[24][669],1
5529,Helder Ornelas, Portugal,Marathon,2010,Biological passport,4 years,[172][670],1
5530,Yolanda Osana, Dominican Republic,Hurdling,2012,Stanozolol,2 years,[26][219],1
5531,Oludamola Osayomi, Nigeria,Sprinting,2010,Methylhexaneamine,,[664][671],1
5532,Artur Osman, Poland,Long distance,2005,Norandrosterone,2 years,[271],1
5533,Nadzeya Ostapchuk, Belarus,Shot put,2012  2005 (Retested in 2012),"Metenolone  Formestane, 4-Hydroxytestosterone",4 years,[13][38][47][672],1
5534,Hanane Ouhaddou, Morocco,Steeplechase,2009,Biological passport,2 years,[13][15],1
5535,Lawretta Ozoh, Nigeria,Sprinting,2012,Stanozolol,2 years,[153][292][673],1
5536,Nunu Abashidze, Soviet Union,Shot put,1981,,,[1][2],1
5537,Ahmed Abd El Raouf, Egypt,Hammer throw,2008,Norandrosterone,2 years,[3][4],1
5538,Inga Abitova, Russia,Long distance,2009,Biological passport anomalies,2 years,[5][6][7],1
5539,Folashade Abugan, Nigeria,Sprinting,2010,Testosterone prohormone,2 years,[8][9][10],1
5540,Ibrahim Mohamed Aden, Somalia,Middle distance,1999,Ephedrine,Public warning,[11][12][13],1
5541,Tosin Adeloye, Nigeria,Sprinting,20122015,Metenolone  Exogenous steroids,2 years  8 years,[14][15][16][17],1
5542,Funke Adeoye, Nigeria,Hammer throw,2007,Ephedrine,Public warning,[3][18][19][20],1
5543,Alessandra Aguilar, Spain,Long distance,2011,,3 months,[21],1
5544,Amina Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][22],1
5545,Seltana Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][23],1
5546,Chioma Ajunwa, Nigeria,"Long jump, sprinting",1992,,4 years,[24][25],1
5547,Esther Akinsulie, Canada,Sprinting,2013,Hydrochlorothiazide,6 months,[26][27][28],1
5548,Ashwini Akkunji, India,Sprinting,2011,Anabolic steroids,2 years,[29],1
5549,Mary Akor Basley, United States,Marathon,2012,Clenbuterol,2 years,[14][30],1
5550,Mikko Ala-Leppilampi, Finland,Long distance,1972,Self admittance of blood transfusions  (not illegal at the time),—,[31],1
5551,Mariem Alaoui Selsouli, Morocco,Middle distance,2009 2012,EPOFurosemide,2 years  8 years,[13][32][33][34][35],1
5552,Sultan Al-Dawoodi, Saudi Arabia,Discus throw,2009,Norandrosterone,2 years,[36][37],1
5553,Denis Alekseyev, Russia,Sprinting,2013,Dehydrochloromethyltestosterone,2 years,[38][39],1
5554,Barakat Al-Harthi, Oman,Sprinting,2011,Methylprednisolone,6 months,[40][41],1
5555,Ghfran Almouhamad, Syria,Hurdling,2012,Methylhexaneamine,6 months,[7][42],1
5556,Anna Alminova, Russia,Middle distance,2010  2009,Pseudoephedrine  Biological passport anomalies,3 months  30 months,[32][43][13][44][45],1
5557,Anthony Alozie, Australia,Sprinting,2013,Three Whereabouts Failures,20 months,[30][46][47],1
5558,Aslı Çakır Alptekin, Turkey,Middle distance/steeplechase,2004  2010,Metenolone  Biological passport,2 years  8 years,[48][49][50][51][52][53][54],1
5559,Chinaza Amadi, Niger,Long jump,2015,Metenolone,4 years,[55][56],1
5560,Gloria Amuche Nwosu, Nigeria,Sprinting,2005,Testosterone,2 years,[57],1
5561,Anis Ananenka, Belarus,Middle distance,2015,GW1516,4 years,[58][59],1
5562,Andreas Anastasopoulos, Greece,Shot put,2001,,2 years,[60],1
5563,Georg Andersen, Norway,Shot put,1991,Metenolone,21 months,[13][61][62],1
5564,Marvin Anderson, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
5565,Lyudmila Andonova, Bulgaria,High jump,1985,Amphetamine,18 months,[1][2][64],1
5566,Yeorgios Andreou, Cyprus,Decathlon,2003,,2 years,[65],1
5567,Vladimir Andreyev, Russia,Race walking,2005,Salbutamol,1 year,[66][67],1
5568,Yuriy Andronov, Russia,Race walking,2014,Trimetazidine,2 years,[34][68],1
5569,Ivanildo dos Anjos, Brazil,Long distance,2014,Hydrochlorothiazide,18 months,[69][70][71],1
5570,Adrián Annus, Hungary,Hammer throw,2004,"Missed test, tampering",2 years,[72][73],1
5571,Seema Antil, India,Discus throw,2000,Pseudoephedrine,Public warning,[74],1
5572,Elena Antoci, Romania,Middle distance,2008,EPO,,[75],1
5573,Olena Antonova, Ukraine,Discus throw,2009 (Retested 2013),Stanozolol,2 years,[13][30][76],1
5574,Esref Apak, Turkey,Hammer throw,2013,Stanozolol,2 years,[14][30][77],1
5575,Thozama April, South Africa,Long distance,2014,"Phentermine, Prednisolone, Norandrosterone",2 years,[69][70][78],1
5576,Demetra Arachoviti, Greece,Hurdling,2012,Stanozolol,2 years,[79][80],1
5577,Geisa Arcanjo, Brazil,Shot put,2010,Hydrochlorothiazide,Public warning,[81],1
5578,Juana Arrendel, Dominican Republic,High jump,1999,Stanozolol,,[82],1
5579,Katsiaryna Artsiukh, Kazakhstan,Hurdling,2010,Metenolone,2 years,[32][83],1
5580,Natalya Artyomova, Russia,Middle distance,,Steroids,,[84],1
5581,Tatiana Aryasova, Russia,Long distance,2012,Hydroxyethylstarch,2 years,[79][85][86],1
5582,Elena Arzhakova, Russia,Middle distance,2011,Biological passport violation,2 years,[79][87],1
5583,Malika Asahssah, Morocco,Long distance,2015,Stanozolol,4 years,[17][88],1
5584,Delilah Asiago, Kenya,Long distance,1999,,,[89],1
5585,Innocent Asonze, Nigeria,Sprinting,1999,,,[13][89],1
5586,Wayne Athorne, Australia,Decathlon,,Methandienone (Dianabol),,[90],1
5587,Duncan Atwood, United States,Javelin throw,1985,Stimulant,Life ban (later reduced),[2][91],1
5588,Olutoyin Augustus  (Toyin Augustus), Nigeria,Hurdles,2009,Abnormal testosterone levels,2 years,[13][92],1
5589,Anna Avdeyeva, Russia,Shot put,2013,Oral Turinabol (anabolic steroid),2 years,[76][93],1
5590,Roman Avramenko, Ukraine,Javelin throw,20132015,DehydrochloromethyltestosteroneDehydrochloromethyltestosterone,2 years8 years,[13][30][76]  [94][95],1
5591,Hussein Awada, Lebanon,Cross country running  Half marathon,2012,Nandrolone,2 years,[28][30],1
5592,Mark Anthony Awere, Ghana,Long jump,2001,,3 months,[96],1
5593,Bimbo Miel Ayedou, Benin,Sprinting,2012,Nandrolone,2 years,[40][97],1
5594,Süreyya Ayhan, Turkey,Middle distance,20042007,"Interfering with testStanozolol, Methandienone",2 yearsLife ban,[98][36][37][99],1
5595,Masoud Azizi, Afghanistan,Sprinting,2013,Nandrolone,2 years,[13][14][30],1
5596,Ahmed Baday, Morocco,Long distance,2010,Biological passport anomalies,2 years,[13][100][101],1
5597,Ndiss Kaba Badji, Senegal,"Long jump, triple jump",2005,Androstenedione,2 years,[66],1
5598,Oleksandr Bagach, Soviet Union Ukraine,Shot put,1989  1997,Steroids  Ephedrine,2 years  Public warning and disqualification,[102][103] (in German)[13][104][105][106],1
5599,José Alessandro Bagio, Brazil,Race walking,2010,19-Norandrosterone,2 years,[10][107],1
5600,Amina Bakhit, Sudan,Middle distance,2009,Norandrosterone,2 years,[36][37],1
5601,Sergey Bakulin, Russia,Race walking,2011,Biological passport anomalies,3 years and 2 months,[108][109],1
5602,Živilė Balčiūnaitė, Lithuania,Long distance,2010,Testosterone,2 years,[110][111],1
5603,Michal Balner, Czech Republic,Pole vault,2010,Cannabis,1 month,[32],1
5604,Onalenna Baloyi, Botswana,Middle distance,2010,Methylhexanamine,2 years,[32][112],1
5605,Yuliya Balykina, Belarus,Sprinting,2013,Drostanolone,2 years,[30][113],1
5606,Falk Balzer, Germany,Hurdling,2001,Nandrolone,2 years,[114][115],1
5607,Konstadinos Baniotis, Greece,High jump,2013,Furosemide,Public warning,[116][117],1
5608,Jarrod Bannister, Australia,Javelin throw,2012,Three Whereabouts Failures within an 18-month period,20 months,[76][118][119],1
5609,Kelly-Ann Baptiste, Trinidad and Tobago,Sprinting,,,2 years,[120][121],1
5610,Shawnacy Barber, Canada,Pole vault,2016,Cocaine,Public warning,[122][123],1
5611,Roberto Barbi, Italy,Marathon,1996  20012008,"Ephedrine EPO EPO, Ephedrine","3 months  4 years, reduced to 25 months  Life ban",[13][37][79][124][125][126],1
5612,Roxana Bârcă, Romania,Long distance running,2013,Methasterone,2 years,[34][113],1
5613,Randy Barnes, United States,Shot put,1990 1998,Methyltestosterone Androstenedione,27 months  Life ban,[127][128][129],1
5614,Yarelys Barrios, Cuba,Discus throw,2008,Acetazolamide,,[130],1
5615,Bruno de Barros, Brazil,Sprinting,2009,EPO,2 years,[36][37][131],1
5616,Elias Bastos, Brazil,Cross country running,2014,Methyltestosterone,2 years,[69][70][132],1
5617,Giuliano Battocletti, Italy,Long distance running,1999,Nandrolone,16 months,[133],1
5618,Dieter Baumann, Germany,Long distance,1999,Nandrolone,2 years,[134],1
5619,Julie Baumann, Canada,Hurdling,1989,Stanozolol,2 years,[1][135],1
5620,Vadim Bavikin, Israel,Javelin throw,1994,Steroids,4 years,[136],1
5621,Chantal Beaugeant, France,Heptathlon,1989,,2 years,[1][137][138][139],1
5622,James Beckford, Jamaica,Long jump,1997,Ephedrine,3 months,[140],1
5623,Violeta Beclea, Romania,Middle distance,1995,Steroids,4 years,[45][141],1
5624,Chaltu Beji, Azerbaijan,Steeplechase,2015,Ostarine,4 years,[142][143][144],1
5625,Alemitu Bekele, Turkey,Long distance,2009,Biological passport anomalies,2 years and 9 months,[13][47][145],1
5626,Mimi Belete, Bahrain,Middle/Long distance,2010,Salbutamol,Public reprimand and disqualification,[32][146],1
5627,Irina Belova, Russia,Heptathlon,1993,Testosterone,4 years,[45][147][148],1
5628,Kenta Bell, United States,Triple jump,2007,Methylprednisolone,3 months,[149][150][151],1
5629,Awatef Ben Hassine, Tunisia,Sprinting,2004,Norandrosterone,2 years,[98],1
5630,Yassine Bensghir, Morocco,Middle distance,2014,Biological passport,4 years,[17][152],1
5631,Yahya Berrabah, Morocco,Long jump,20092011,CannabisEPO,Public warning4 years (2nd ADRV),[37][153][154],1
5632,Gwen Berry, United States,Hammer throw,2016,Use of a prohibited substance (Vilanterol Trifenatate),3 months,[88][155],1
5633,Michael Berry, United States,Sprinting,2010,Cannabis,3 months,[32][156][157][158],1
5634,Mariya Bespalova, Russia,Hammer throw,2015,Dehydrochloromethyltestosterone,4 years,[56][159],1
5635,María Cristina Betancourt, Cuba,Discus throw,1983,,Life ban,[2][160],1
5636,Kipyegon Bett, Kenya,800 m,2017,Erythropoietin out-of-competition test in November 2017,4 years,[161],1
5637,Antonella Bevilacqua, Italy,High jump,1996,"Ephedrine, pseudoephedrine",,[162],1
5638,Uwe Beyer, West Germany,Hammer throw,1960's/1970's,Anabolic steroids (self-admitted),—,[163] (in German)[164],1
5639,Alemayehu Bezabeh, Spain,Middle/Long distance,2010,Use of a prohibited method (Operation Galgo),2 years,[10][97][165],1
5640,Rajendra Bahadur Bhandari,   Nepal,Long distance,2006,Norandrosterone,2 years,[166],1
5641,Quentin Bigot, France,Hammer throw,2014,Methandienone and Stanozolol,2 years,[167][168][169],1
5642,Madina Biktagirova, Unified Team,Long distance,1992,Norephedrine,,[170],1
5643,Yuriy Bilonoh, Ukraine,Shot put,2004 (Sample retested 2012),Oxandrolone,3 years,[13][171][172][173],1
5644,Svetlana Biryukova, Russia,Long jump,2014,SARMs,2-year ban,[174][175],1
5645,Dominique Blake, Jamaica,Sprinting,2006 2012,EphedrineMethylhexanamine,9 months 4 years and 6 months (Reduced from 6 years),[76][176][119][177][178][179],1
5646,Yohan Blake, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
5647,José Luis Blanco, Spain,Middle distance,2010,EPO,2 years,[180],1
5648,Zhanna Block, Ukraine,Sprinting,2002,BALCO scandal,2 years,[13][79][153],1
5649,Lyudmyla Blonska, Ukraine,"Heptathlon, long jump",20032008,Stanozolol Methyltestosterone,2 years  Life ban,[181][182][3][183],1
5650,Petr Bogatyrev, Russia,Race walking,2011,Biological passport anomalies,2 years,[47][145],1
5651,Ato Boldon, Trinidad and Tobago,Sprinting,2001,Ephedrine,Public warning,[74],1
5652,Scott Boothby, United States,Hammer throw,2006,"Finasteride, 6-oxo-androstenedione",4 years (Reduced from 8 years),[184][185][186],1
5653,Valeriy Borchin, Russia,Race walking,20052009,Ephedrine  Biological passport anomalies,1 year  8 years,[187][108][109],1
5654,Béranger-Aymard Bossé, Central African Republic,Sprinting,2016,Prednisolone,2 years,[16][17],1
5655,Mihaela Botezan, Romania,Long distance,2007,Chlortalidone,2 years,[3][188][189],1
5656,Chakir Boujattaoui, Morocco,Long-distance,2010,MIRCERA,2 years,[32][190],1
5657,Brahim Boulami, Morocco,Steeplechace,2002,EPO,2 years,[191],1
5658,Larbi Bouraada, Algeria,Decathlon,2012,Stanozolol,2 years,[30],1
5659,Abderrahime Bouramdane, Morocco,Marathon,2011,Biological passport,2 years,[142][143][192],1
5660,Zahra Bouras, Algeria,Middle-distance,2012,Stanozolol,2 years,[30],1
5661,Sofiya Bozhanova, Bulgaria,Long/Triple jump,1994,Amphetamine,4 years,[193],1
5662,Kevin Braunskill, United States,Sprinting,1994,Stanozolol,4 years,[194],1
5663,Grit Breuer, Germany,Sprinting,1992,Clenbuterol,2 years,[195],1
5664,Okkert Brits, South Africa,Pole vault,2003,Ephedrine,Public warning,[182][196],1
5665,Damien Broothaerts, Belgium,Hurdling,2011,"Methylhexanamine, 3 whereabouts failures",1 year (Reduced from 2 years),[10][197],1
5666,Alicia Brown, Canada,Sprinting,2013,Hydrochlorothiazide,2 years,[69][198][199],1
5667,Erik de Bruin, Netherlands,"Discus throw, shot put",1993,"Testosterone, Stanozolol, hCG",4 years,[200],1
5668,Ricky Bruch, Sweden,Discus throw,1960's/1970's,Anabolic steroids (self-admitted),—,[201] (in Swedish),1
5669,Yelyzaveta Bryzhina, Ukraine,Sprinting,2013,Drostanolone,2 years,[13][30][76],1
5670,Aleksandr Bulanov, Russia,Shot put,2009,Methandienone,2 years,[36][37],1
5671,Viktor Burayev, Russia,Race walking,2008,EPO,2 years,[3][202],1
5672,Tamara Bykova, Soviet Union,High jump,1990,Ephedrine,3 months,[203][204],1
5673,Yolanda Caballero, Colombia,Long distance,20112014,Biological passportTampering,4 years,[16][17],1
5674,Gary Cadogan, Great Britain,"Sprinting, hurdling",1998,Nandrolone,2 years,[205],1
5675,Dorina Calenic, Romania,Long distance,1987,,,[1][2][206],1
5676,Mehmet Çağlayan, Turkey,Long distance,2010,EPO,2 years,[32][112],1
5677,Jillian Camarena-Williams, United States,Shot put,2013,Clomiphene,6 months,[207][208],1
5678,John Capel, United States,Sprinting,2004  2006,CannabisCannabis,Public warning2 years,[209][210],1
5679,Dean Capobianco, Australia,Sprinting,1996,Stanazolol,2 years (Reduced from 4 years),[211],1
5680,Hector Carrasquillo, Puerto Rico,Sprinting,2011,Anabolic steroid,2 years,[10][212],1
5681,LaMark Carter, United States,Triple jump,2004,Salbutamol,Public warning,[186][213][214],1
5682,Silviu Casandra, Romania,Race walking,2002,,2 years,[215][216],1
